edge_index,horizon,label,over_rate,repair_config,training_seed,under_rate,violation_rate
0,2,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9963235294117647
1,2,candidate,1.0,epsilon_cosine_cap_0p5,31431,0.0,1.0
2,2,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0,0.9987745098039216
3,2,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9963235294117647
4,2,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0,0.9963235294117647
5,2,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,1.0
6,2,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.003676470588235294,0.9963235294117647
7,2,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31431,0.0,0.9975490196078431
8,2,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9975490196078431
9,2,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9963235294117647
10,2,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.003676470588235294,1.0
11,2,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9938725490196079
12,2,candidate,0.9901960784313726,epsilon_cosine_cap_0p5,31431,0.004901960784313725,0.9950980392156863
13,2,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0,0.9963235294117647
14,2,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,1.0
15,2,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9963235294117647
16,2,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,0.9950980392156863
17,2,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0,0.9963235294117647
18,2,candidate,0.9901960784313726,epsilon_cosine_cap_0p5,31431,0.0,0.9901960784313726
19,2,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9987745098039216
20,2,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0,0.9987745098039216
21,2,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9950980392156863
22,2,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0012254901960784314,1.0
0,3,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31431,0.0,0.9975490196078431
1,3,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0,0.9950980392156863
2,3,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31431,0.0,0.9950980392156863
3,3,candidate,0.991421568627451,epsilon_cosine_cap_0p5,31431,0.0,0.991421568627451
4,3,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31431,0.0,0.9963235294117647
5,3,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31431,0.0,0.9987745098039216
6,3,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31431,0.0024509803921568627,0.9950980392156863
